pickup_lat,pickup_lon,moneyPerHour
52.13999,5.0999,5.516666666666667
52.07624,4.34956,2.7849056603773588
52.14237,5.1015,5.426086956521739
52.02056,4.26031,11.647058823529411
52.02973,4.28046,6.96
51.924,4.41563,19.585714285714282
52.13926,5.09354,11.599999999999998
51.88926,4.45611,5.314285714285714
51.44099,5.53843,10.368
51.4594,5.43483,19.66153846153846
52.09486,4.36033,2.6448979591836737
52.39898,4.92232,7.2857142857142865
52.13255,5.14714,10.827272727272728
51.90525,4.47429,7.875
52.39603,4.92729,16.200000000000003
51.92379,4.41609,5.912195121951219
51.40093,5.47884,8.688888888888888
52.36795,4.93908,6.1499999999999995
52.39994,4.92466,11.727272727272728
51.39244,5.42259,4.741935483870968
52.03118,4.28843,10.549999999999999
52.11463,5.15567,3.4641509433962265
52.14211,5.10018,3.1959183673469385
51.97168,4.50346,7.986206896551724
51.93783,4.42981,16.114285714285714
52.04516,5.10132,6.828571428571429
51.93445,4.42945,5.92258064516129
52.01904,4.26139,16.328571428571426
51.95835,4.5321,14.057142857142857
51.44895,5.42289,7.844444444444444
52.36145,4.91074,8.7
52.36968,4.946,3.76875
51.9667,4.44432,10.976470588235294
52.07912,4.34923,9.138461538461538
52.064,4.33451,14.935714285714287
52.39473,4.93005,10.466666666666667
51.45968,5.43271,8.089655172413794
52.36518,4.90633,12.070588235294117
52.39667,4.9255,5.225
51.42044,5.47575,8.884615384615385
52.13688,5.09141,10.415999999999999
52.06798,5.1507,13.72
51.95773,4.53979,8.052
51.92149,4.41934,5.577272727272727
51.89159,4.45517,8.622222222222222
52.02416,4.26383,53.442857142857136
51.8918,4.4475,6.000000000000001
51.96332,4.45424,14.399999999999999
51.41783,5.46824,22.857142857142858
51.93564,4.42964,11.481818181818182
52.01963,4.26111,6.329032258064515
51.4438,5.41337,15.333333333333332
52.1128,5.0912,5.285106382978723
52.09458,4.36306,5.463157894736843
51.96482,4.44563,10.0875
52.37027,4.89078,10.29795918367347
52.1395,5.10513,14.92
51.88671,4.45423,18.95
51.88622,4.44934,12.600000000000001
51.40141,5.48219,8.71875
51.90536,4.46868,19.96
51.9719,4.50416,21.247058823529414
51.93768,4.4296,4.786666666666666
51.39352,5.42633,10.466666666666667
52.13972,5.09397,4.05
52.11407,5.15006,6.14
52.03991,5.09665,15.825
52.37099,4.93672,6.495
51.41957,5.47311,5.217391304347826
51.44032,5.53313,4.696153846153846
51.96977,4.50403,18.381818181818183
52.36401,4.91087,2.5584905660377357
51.44976,5.42588,7.635294117647059
52.13333,5.13969,2.461224489795918
51.88954,4.44825,5.351020408163266
52.41488,4.86108,16.5
51.89025,4.45133,10.537499999999998
51.44732,5.41583,5.151219512195122
51.44386,5.4197,8.826666666666666
52.36619,4.90914,5.4125
51.90689,4.46479,7.176923076923076
51.95924,4.5314,18.83076923076923
52.10987,5.09219,6.12
52.11132,5.09373,17.045454545454547
52.06968,4.36564,12.96
52.09676,4.23923,11.236363636363638
52.02767,4.28032,6.975
52.41241,4.91061,3.8057142857142856
51.9656,4.45121,10.694117647058823
52.13577,5.14515,8.4
52.02345,4.26818,10.124999999999998
52.13981,5.09094,10.249999999999998
52.06835,4.35886,2.522222222222222
51.41803,5.47326,9.58
52.36614,4.91355,14.340000000000002
51.44469,5.53665,10.022222222222222
52.14152,5.10503,49.02857142857143
52.41177,4.91058,4.365957446808511
52.13872,5.09321,35.220000000000006
51.39566,5.42146,5.073913043478261
51.41828,5.47604,4.004081632653062
52.0803,4.34735,4.661538461538462
52.41157,4.90856,7.529032258064515
51.44742,5.4219,21.654545454545456
51.45823,5.42987,3.864705882352941
